Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
Query logs,Warning,,"	25/11/2025 12:33:50 +03:00",Log Management,192.168.7.150,Log Management,Successful,Operation logs queried successfully.
query current activities,Minor,,"	25/11/2025 12:33:40 +03:00",OSSFaceService,192.168.7.150,query current activities,Successful,query current activities
Query the operator type,Minor,,"	25/11/2025 12:33:39 +03:00",NBIMgmtService,192.168.7.150,Obtain the operator type,Failed,Failed:Query the current operator type
LCM/CSM Performance Report,Warning,,"	25/11/2025 12:30:54 +03:00",VNFM,10.253.100.107,OSS,Successful,Operation success
LCM/CSM Performance Report,Warning,,"	25/11/2025 12:30:26 +03:00",VNFM,10.253.124.166,OSS,Successful,Operation success
Send MML Command,Warning,,"	25/11/2025 12:30:06 +03:00",Device Panel Operations,192.168.27.27,BSC_HQ_02,Successful,"Function: [Configuration Management][Device Panel][Send MML Command]
LST BTSRXUBRD:IDTYPE = BYID,BTSID = 251,RXUIDTYPE = SRNSN,CN = 0,SRN = 65,SN = 0;"
Query Topo Information,Warning,,"	25/11/2025 12:29:50 +03:00",Device Panel Operations,192.168.27.27,BSC_HQ_02,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Topo Information,Warning,,"	25/11/2025 12:29:50 +03:00",Device Panel Operations,192.168.27.27,BSC_HQ_02,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Topo Information,Warning,,"	25/11/2025 12:29:47 +03:00",Device Panel Operations,192.168.27.27,BSC_HQ_02,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Shelf List,Warning,,"	25/11/2025 12:29:46 +03:00",Device Panel Operations,192.168.27.27,BSC_HQ_02,Successful,"	--"
Create Task,Warning,,"	25/11/2025 12:29:24 +03:00",Integrated Task Management,192.168.27.163,Network Management,Successful,"The operation is authorized by user. 
The task type is MML Script and the task name is GLOBALPROCSWITCH2."
Upload File,Minor,,"	25/11/2025 12:29:19 +03:00",OSSFileService,192.168.27.163,GLOBALPROCSWITCH.txt,Successful,"Upload file, file name: GLOBALPROCSWITCH.txt"
Create Task,Warning,,"	25/11/2025 12:28:19 +03:00",Integrated Task Management,192.168.19.229,Network Management,Successful,"The operation is authorized by user. 
The task type is MML Script and the task name is Eutranmissing."
Upload File,Minor,,"	25/11/2025 12:28:09 +03:00",OSSFileService,192.168.19.229,EUTRANINTERNFREQ25-11-2025.txt,Successful,"Upload file, file name: EUTRANINTERNFREQ25-11-2025.txt"
Query Shelf Information,Warning,,"	25/11/2025 12:28:06 +03:00",Device Panel Operations,192.168.27.27,2934-UL_Naaimeh_Bridge_PF_UMN_Manage_O,Successful,"Function: [Configuration Management][Device Panel][Query Shelf Information]
"
Query Topo Information,Warning,,"	25/11/2025 12:28:02 +03:00",Device Panel Operations,192.168.27.27,2934-UL_Naaimeh_Bridge_PF_UMN_Manage_O,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Topo Information,Warning,,"	25/11/2025 12:27:59 +03:00",Device Panel Operations,192.168.27.27,2934-UL_Naaimeh_Bridge_PF_UMN_Manage_O,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Shelf Information,Warning,,"	25/11/2025 12:27:51 +03:00",Device Panel Operations,192.168.27.27,2934-UL_Naaimeh_Bridge_PF_UMN_Manage_O,Successful,"Function: [Configuration Management][Device Panel][Query Shelf Information]
"
Query Trace Server Ftp Information,Minor,,"	25/11/2025 12:27:43 +03:00",Data Collection,10.119.10.104,OSS,Successful,"Function: [Data Collection Management][Basic Information Collection]
Query Trace Server Ftp Information Successful"
